head,tail,relation,score
环境,命令,创建或使用关联,0.9872081875801086
ARM,Python,使用安装,0.9933657050132751
ARM,pip,使用安装,0.9932367205619812
ARM,版本,创建或使用关联,0.942531943321228
ARM,19.3,版本,0.8103858828544617
ARM,命令,创建或使用关联,0.9505698680877686
Python,pip,工具安装,0.9926757216453552
Python,版本,使用安装,0.9927688837051392
Python,19.3,版本,0.9973465204238892
Python,命令,使用安装,0.9916874766349792
pip,版本,使用安装,0.9921267032623291
pip,19.3,版本,0.9973663687705994
pip,命令,使用安装,0.9917557239532471
版本,19.3,版本,0.975964367389679
版本,命令,创建或使用关联,0.9860472679138184
19.3,命令,版本,0.9303528070449829
Ascend Data Center Solution,22.0,版本,0.9973536729812622
Ascend Data Center Solution,https://support.huawei.com/enterprise/zh/doc/EDOC1100246310,使用参考,0.9737600684165955
路径,用户,使用,0.9791569709777832
路径,权限,使用,0.9766473770141602
路径,昇腾AI处理器配套软件包,使用,0.8611675500869751
路径,root用户,使用,0.9795336723327637
路径,用户组,使用,0.9791304469108582
用户,权限,使用,0.9906140565872192
用户,昇腾AI处理器配套软件包,进行安装,0.9727870225906372
用户,root用户,进行安装,0.9313271641731262
用户,用户组,进行安装,0.934267520904541
权限,昇腾AI处理器配套软件包,使用,0.9078654646873474
权限,root用户,使用,0.9870254397392273
权限,用户组,使用,0.9864180088043213
昇腾AI处理器配套软件包,root用户,进行安装,0.9640287756919861
昇腾AI处理器配套软件包,用户组,进行安装,0.9638195037841797
root用户,用户组,进行安装,0.9348934292793274
昇腾AI处理器配套软件包,whl,工具安装,0.992887556552887
昇腾AI处理器配套软件包,命令,使用安装,0.9916588664054871
whl,命令,使用安装,0.9904480576515198
路径,指令,创建或使用关联,0.9580146074295044
路径,命令,创建或使用关联,0.9792417883872986
指令,命令,创建或使用关联,0.9855816960334778
pip install /usr/local/Ascend/ascend-toolkit/latest/fwkacllib/lib64/topi-*-py3-none-any,".whl
",编译安装,0.9883266091346741
Ubuntu 18.04,命令,创建或使用关联,0.9696031808853149
install,gcc-7,工具安装,0.9906574487686157
CentOS 7,命令,创建或使用关联,0.9696093201637268
命令,GCC ,使用安装,0.9933692812919617
EulerOS,OpenEuler,上面安装,0.9723426103591919
EulerOS,命令,创建或使用关联,0.9562704563140869
OpenEuler,命令,创建或使用关联,0.9587761759757996
Ubuntu 18.04,命令,创建或使用关联,0.9696031808853149
CentOS 7,EulerOS,上面安装,0.9789677262306213
CentOS 7,OpenEuler,上面安装,0.9790477156639099
CentOS 7,命令,创建或使用关联,0.9552066922187805
EulerOS,OpenEuler,上面安装,0.9779924750328064
EulerOS,命令,创建或使用关联,0.9505404829978943
OpenEuler,命令,创建或使用关联,0.9509257078170776
命令,Open MPI,使用安装,0.9933736324310303
命令,https://www.open-mpi.org/,详情参考,0.9214879274368286
Open MPI,https://www.open-mpi.org/,使用参考,0.9735935926437378
curl,"https://download.open-mpi.org/release/open-mpi/v4.0/openmpi-4.0.3.tar.gz
",编译安装,0.9376032948493958
版本,https://www.mindspore.cn/versions,详情参考,0.988817572593689
版本,MindSpore,使用安装,0.9926960468292236
版本,SHA-256,使用安装,0.9919814467430115
版本,1.7.0,版本,0.9300520420074463
版本,命令,创建或使用关联,0.9408705234527588
https://www.mindspore.cn/versions,MindSpore,使用参考,0.9458273649215698
https://www.mindspore.cn/versions,SHA-256,使用参考,0.956387996673584
https://www.mindspore.cn/versions,1.7.0,版本,0.831849217414856
https://www.mindspore.cn/versions,命令,详情参考,0.9824120402336121
MindSpore,SHA-256,工具安装,0.980280339717865
MindSpore,1.7.0,版本,0.9972981810569763
MindSpore,命令,使用安装,0.9908590912818909
SHA-256,1.7.0,版本,0.997286319732666
SHA-256,命令,使用安装,0.9901511669158936
1.7.0,命令,版本,0.9247611165046692
系统架构,Python,使用安装,0.9933650493621826
系统架构,版本,创建或使用关联,0.9874574542045593
系统架构,命令,创建或使用关联,0.9852501749992371
系统架构,MindSpore,使用安装,0.993316113948822
Python,版本,使用安装,0.9930763244628906
Python,命令,使用安装,0.9914863109588623
Python,MindSpore,工具安装,0.9929168224334717
版本,命令,创建或使用关联,0.9875386953353882
版本,MindSpore,使用安装,0.9933039546012878
命令,MindSpore,使用安装,0.993244469165802
x86_64,Python,使用安装,0.9921702742576599
x86_64,3.7,版本,0.8634474873542786
Python,3.7,版本,0.9973737001419067
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/x86_64/mindspore_ascend-${MS_VERSION/-/}-cp37-cp37m-linux_x86_64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.819265604019165
x86_64,Python,使用安装,0.9922675490379333
x86_64,3.8,版本,0.8548445701599121
Python,3.8,版本,0.9973760843276978
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/x86_64/mindspore_ascend-${MS_VERSION/-/}-cp38-cp38-linux_x86_64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.8012487292289734
x86_64,Python,使用安装,0.9923990368843079
x86_64,3.9,版本,0.8499197959899902
Python,3.9,版本,0.99737548828125
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/x86_64/mindspore_ascend-${MS_VERSION/-/}-cp39-cp39-linux_x86_64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.8009964823722839
aarch64,Python,使用安装,0.9924387335777283
aarch64,3.7,版本,0.8742170929908752
Python,3.7,版本,0.9973795413970947
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/aarch64/mindspore_ascend-${MS_VERSION/-/}-cp37-cp37m-linux_aarch64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.8341568112373352
aarch64,Python,使用安装,0.9924855828285217
aarch64,3.8,版本,0.8754100203514099
Python,3.8,版本,0.9973832964897156
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/aarch64/mindspore_ascend-${MS_VERSION/-/}-cp38-cp38-linux_aarch64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.8183708190917969
aarch64,Python,使用安装,0.9925690293312073
aarch64,3.9,版本,0.869377851486206
Python,3.9,版本,0.9973830580711365
pip,"https://ms-release.obs.cn-north-4.myhuaweicloud.com/${MS_VERSION}/MindSpore/ascend/aarch64/mindspore_ascend-${MS_VERSION/-/}-cp39-cp39-linux_aarch64.whl --trusted-host ms-release.obs.cn-north-4.myhuaweicloud.com -i https://pypi.tuna.tsinghua.edu.cn/simple
",编译安装,0.8183773159980774
whl,MindSpore,工具安装,0.9885326623916626
whl,安装包,使用安装,0.8434837460517883
whl,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,使用参考,0.8673394322395325
whl,ModelZoo,工具安装,0.9885249733924866
whl,https://gitee.com/mindspore/models/tree/r1.7/,使用参考,0.9689579606056213
whl,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,使用参考,0.8805725574493408
MindSpore,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,使用参考,0.8885221481323242
MindSpore,ModelZoo,工具安装,0.9852865934371948
MindSpore,https://gitee.com/mindspore/models/tree/r1.7/,使用参考,0.970137357711792
MindSpore,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,使用参考,0.8827210068702698
安装包,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,详情参考,0.9890362620353699
安装包,ModelZoo,使用安装,0.8743852376937866
安装包,https://gitee.com/mindspore/models/tree/r1.7/,详情参考,0.9830622673034668
安装包,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,详情参考,0.9890506267547607
依赖,https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,详情参考,0.9890012741088867
依赖,https://gitee.com/mindspore/models/tree/r1.7/,详情参考,0.9805773496627808
依赖,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,详情参考,0.9890185594558716
https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,ModelZoo,使用参考,0.8694311380386353
https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,https://gitee.com/mindspore/models/tree/r1.7/,使用参考,0.9600841999053955
https://gitee.com/mindspore/mindspore/blob/r1.7/setup.py,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,使用参考,0.8881850838661194
ModelZoo,https://gitee.com/mindspore/models/tree/r1.7/,使用参考,0.9701316356658936
ModelZoo,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,使用参考,0.8843672275543213
https://gitee.com/mindspore/models/tree/r1.7/,https://gitee.com/mindspore/mindspore/blob/r1.7/requirements.txt,使用参考,0.9247727394104004
昇腾AI处理器配套软件包,路径,使用安装,0.9906209707260132
昇腾AI处理器配套软件包,MindSpore,工具安装,0.9876147508621216
昇腾AI处理器配套软件包,Runtime,使用安装,0.9921099543571472
昇腾AI处理器配套软件包,环境变量,使用安装,0.9773615002632141
昇腾AI处理器配套软件包,命令,使用安装,0.9882023930549622
路径,MindSpore,使用安装,0.9917845726013184
路径,Runtime,使用安装,0.8596304059028625
路径,环境变量,创建或使用关联,0.9334821701049805
MindSpore,Runtime,使用安装,0.9924401044845581
MindSpore,环境变量,使用安装,0.9728780388832092
MindSpore,命令,使用安装,0.9916056394577026
Runtime,环境变量,创建或使用关联,0.9463835954666138
Runtime,命令,使用安装,0.8020200729370117
环境变量,命令,创建或使用关联,0.9454607367515564
Conda,ptions,工具安装,0.9929961562156677
tation,tool,工具安装,0.9928515553474426
tation,path,工具安装,0.9916395545005798
tool,path,工具安装,0.9928184747695923
AICPU,path,工具安装,0.9922602772712708
compilation tool,"path
",工具安装,0.9882084727287292
Python,librmplementation depends on,工具安装,0.9882710576057434
MindSpore,version,工具安装,0.9924445748329163
MindSpore,版本,使用安装,0.9908835291862488
version,版本,使用安装,0.9850990772247314
mport,mpy,工具安装,0.9923591017723083
mindspore,poTensor,工具安装,0.9908376336097717
por,mindspore,工具安装,0.992493212223053
por,context,工具安装,0.9927132725715637
mindspore,context,工具安装,0.9926459789276123
Tensor,p.one,工具安装,0.9928820133209229
Tensor,one,工具安装,0.9930251836776733
MindSpore,版本,使用安装,0.9920803904533386
MindSpore,版本,使用安装,0.9925768971443176
MindSpore,命令,使用安装,0.9912053942680359
版本,命令,创建或使用关联,0.9892376661300659
版本,1.6.0,版本,0.9842647314071655
源码编译方式,MindSpore CPU,安装,0.9910180568695068
MindSpore CPU,版本,使用安装,0.9845582842826843
MindSpore CPU,macOS,使用安装,0.9862844944000244
版本,macOS,创建或使用关联,0.9653317928314209
源码编译方式,MindSpore CPU,安装,0.990965723991394
源码编译方式,版本,安装,0.8374893069267273
源码编译方式,macOS,安装,0.8468887805938721
源码编译方式,mindspore-cpu,安装,0.990542471408844
源码编译方式,macos,安装,0.8956226706504822
MindSpore CPU,macOS,使用安装,0.9788307547569275
MindSpore CPU,mindspore-cpu,安装,0.9891979098320007
MindSpore CPU,macos,使用安装,0.8571564555168152
版本,macOS,创建或使用关联,0.9639877676963806
版本,macos,创建或使用关联,0.8582209944725037
MindSpore,版本,使用安装,0.9925893545150757
版本,mindspore,使用安装,0.9913382530212402
https://gitee.com/mindspore/docs/blob/r1.7/install/mindspore_cpu_mac_install_source.md,https://mindspore-website.obs.cn-north-4.myhuaweicloud.com/website-images/r1.7/resource/_static/logo_source.png,使用参考,0.8604514002799988
macOS,MindSpore,使用安装,0.9800509810447693
源码编译方式,MindSpore,安装,0.9892205595970154
系统,芯片,创建或使用关联,0.8802814483642578
系统,Python,使用安装,0.9933598637580872
系统,版本,创建或使用关联,0.9735565185546875
芯片,Python,使用安装,0.9934549927711487
芯片,版本,创建或使用关联,0.9541822075843811
Python,版本,使用安装,0.9932253956794739
Python,macOS,使用安装,0.9933977127075195
芯片,计算架构,创建或使用关联,0.9781798124313354
芯片,macOS,创建或使用关联,0.8894554376602173
芯片,版本,创建或使用关联,0.9847152233123779
芯片,Python,使用安装,0.9932993650436401
计算架构,macOS,创建或使用关联,0.9046587944030762
计算架构,版本,创建或使用关联,0.9876859188079834
计算架构,Python,使用安装,0.993151068687439
macOS,版本,创建或使用关联,0.9693433046340942
macOS,Python,使用安装,0.9932973980903625
版本,Python,使用安装,0.9927598237991333
ARM,11.3,版本,0.9973978996276855
ARM,Python,工具安装,0.9928898811340332
ARM,3.8-3.9,版本,0.9974019527435303
11.3,Python,版本,0.9974206686019897
11.3,3.8-3.9,版本,0.9973428845405579
Python,3.8-3.9,版本,0.9974007606506348
Inte,x86_64,使用安装,0.9889360070228577
Inte,10.15,版本,0.9973957538604736
Inte,11.3,版本,0.9973992109298706
Inte,Python,工具安装,0.991473913192749
Inte,3.7-3.9,版本,0.997397780418396
x86_64,10.15,版本,0.8959593176841736
x86_64,11.3,版本,0.9083330035209656
x86_64,Python,使用安装,0.9922178983688354
x86_64,3.7-3.9,版本,0.9498481750488281
10.15,11.3,版本,0.9973847270011902
10.15,Python,版本,0.9974244832992554
10.15,3.7-3.9,版本,0.9973832964897156
11.3,Python,版本,0.997424840927124
11.3,3.7-3.9,版本,0.9973852038383484
Python,3.7-3.9,版本,0.9974143505096436
Python,版本,使用安装,0.9925748109817505
Python,3.7.5,版本,0.9967535138130188
Python,https://www.python.org/ftp/python/3.7.5/python-3.7.5-macosx10.9.pkg,使用参考,0.9532867670059204
Python,https://repo.huaweicloud.com/python/3.7.5/python-3.7.5-macosx10.9.pkg,使用参考,0.9543112516403198
3.7.5,https://www.python.org/ftp/python/3.7.5/python-3.7.5-macosx10.9.pkg,版本,0.9034284949302673
3.7.5,https://repo.huaweicloud.com/python/3.7.5/python-3.7.5-macosx10.9.pkg,版本,0.8102173209190369
https://www.python.org/ftp/python/3.7.5/python-3.7.5-macosx10.9.pkg,https://repo.huaweicloud.com/python/3.7.5/python-3.7.5-macosx10.9.pkg,使用参考,0.9316715002059937
Python,3.8.0,版本,0.9965343475341797
Python,https://www.python.org/ftp/python/3.8.0/python-3.8.0-macosx10.9.pkg,使用参考,0.9432857632637024
Python,https://repo.huaweicloud.com/python/3.8.0/python-3.8.0-macosx10.9.pkg,使用参考,0.9535938501358032
3.8.0,it,版本,0.9967003464698792
3.8.0,https://www.python.org/ftp/python/3.8.0/python-3.8.0-macosx10.9.pkg,版本,0.8936221599578857
3.8.0,https://repo.huaweicloud.com/python/3.8.0/python-3.8.0-macosx10.9.pkg,版本,0.8132871985435486
it,https://www.python.org/ftp/python/3.8.0/python-3.8.0-macosx10.9.pkg,使用参考,0.9326254725456238
it,https://repo.huaweicloud.com/python/3.8.0/python-3.8.0-macosx10.9.pkg,使用参考,0.950765073299408
